petition_id,county,year,title,title_date,reference,ll_img,head,id
1116,Cheshire,1573,Cheshire Quarter Sessions: 1570s,1573,QJF 3/2/37,,Inhabitants of Rostorne. QJF 3/2/37 (1573),155223.xml
1117,Cheshire,1577,Cheshire Quarter Sessions: 1570s,1577,QJF 6/4/1,,"Richard Skrymsher of Poole, gentleman. QJF 6/4/1 (1577)",155223.xml
1118,Cheshire,1587,Cheshire Quarter Sessions: 1580s,1587,QJF 17/1/20,,"Robert Thomasonne of Northerden, husbandman. QJF 17/1/20 (1587)",155224.xml
1119,Cheshire,1589,Cheshire Quarter Sessions: 1580s,1589,QJF 19/2/28,,"Margarette Clarke of Highe Leighe, spinster. QJF 19/2/28 (1589)",155224.xml
1120,Cheshire,1590,Cheshire Quarter Sessions: 1590s,1590,QJF 19/4/22,,Llewellen ap Edward of Barton on the Hill. QJF 19/4/22 (1590),155225.xml
1121,Cheshire,1590,Cheshire Quarter Sessions: 1590s,1590,QJF 20/1/2,,"Raphe Leftwyche of Leftwyche, on behalf of Edward Venables. QJF 20/1/2 (1590)",155225.xml
1122,Cheshire,1590,Cheshire Quarter Sessions: 1590s,1590,QJF 20/3/2,,The inhabitants of Nantwich. QJF 20/3/2 (1590),155225.xml
1123,Cheshire,1592,Cheshire Quarter Sessions: 1590s,1592,QJF 22/1/20,,"Laurence Swettenham of Somerford, gentleman. QJF 22/1/20 (1592)",155225.xml
1124,Cheshire,1592,Cheshire Quarter Sessions: 1590s,1592,QJF 22/1/25,,"George Hall of Rothesthorne, fishmonger. QJF 22/1/25 (1592)",155225.xml
1125,Cheshire,1592,Cheshire Quarter Sessions: 1590s,1592,QJF 22/3/10,,"Thomas Manwaringe of Calveley, on behalf of Ralph Pallyn. QJF 22/3/10 (1592)",155225.xml
1126,Cheshire,1594,Cheshire Quarter Sessions: 1590s,1594,QJF 24/1/24,,The inhabitants of the parish of Knutsford. QJF 24/1/24 (1594),155225.xml
1127,Cheshire,1594,Cheshire Quarter Sessions: 1590s,1594,QJF 24/1/25,,"Allys Whittingham, William Bealey and Margery his wife. QJF 24/1/25 (1594)",155225.xml
1128,Cheshire,1594,Cheshire Quarter Sessions: 1590s,1594,QJF 24/2/1,,Robert Scragge. QJF 24/2/1 (1594),155225.xml
1129,Cheshire,1594,Cheshire Quarter Sessions: 1590s,1594,QJF 24/2/34,,"Thomas Maddoks, prisoner. QJF 24/2/34 (1594)",155225.xml
1130,Cheshire,1594,Cheshire Quarter Sessions: 1590s,1594,QJF 24/3/22,,"Rauff Hassall, esquire. QJF 24/3/22 (1594)",155225.xml
1131,Cheshire,1595,Cheshire Quarter Sessions: 1590s,1595,QJF 25/2/1,,John Lloyed. QJF 25/2/1 (1595),155225.xml
1132,Cheshire,1597,Cheshire Quarter Sessions: 1590s,1597,QJF 26/4/19,,John Cowper of Over Midgeley. QJF 26/4/19 (1597),155225.xml
1133,Cheshire,1597,Cheshire Quarter Sessions: 1590s,1597,QJF 27/2/24,,Inhabitants of Hurleston. QJF 27/2/24 (1597),155225.xml
